Participant,Context,Picture,Number,Uniqueness,Centered,Expected,Rate
p11,exp7,5,sg,yes,NA,bad,3
p11,exp8,4,pl,no,NA,bad,1
p11,exp10,4,sg,no,NA,bad,2
p12,exp1,1,sg,yes,NA,good,6
p12,exp3,5,pl,yes,NA,good,7
p12,exp5,1,pl,yes,NA,bad,2
p12,exp7,5,sg,yes,NA,bad,1
p12,exp8,4,pl,no,NA,bad,2
p12,exp10,4,sg,no,NA,bad,2
p13,exp1,1,sg,yes,NA,good,6
p13,exp3,5,pl,yes,NA,good,7
p13,exp5,1,pl,yes,NA,bad,1
p13,exp7,5,sg,yes,NA,bad,1
p13,exp8,4,pl,no,NA,bad,2
p13,exp10,4,sg,no,NA,bad,1
p14,exp1,1,sg,yes,NA,good,7
p14,exp3,5,pl,yes,NA,good,7
p14,exp5,1,pl,yes,NA,bad,1
p14,exp7,5,sg,yes,NA,bad,0
p14,exp8,4,pl,no,NA,bad,1
p14,exp10,4,sg,no,NA,bad,1
p15,exp1,1,sg,yes,NA,good,7
p15,exp3,5,pl,yes,NA,good,6
p15,exp5,1,pl,yes,NA,bad,1
p15,exp7,5,sg,yes,NA,bad,1
p15,exp8,4,pl,no,NA,bad,1
p15,exp10,4,sg,no,NA,bad,2
p16,exp1,1,sg,yes,NA,good,7
p16,exp3,5,pl,yes,NA,good,7
p16,exp5,1,pl,yes,NA,bad,1
p16,exp7,5,sg,yes,NA,bad,4
p16,exp8,4,pl,no,NA,bad,5
p16,exp10,4,sg,no,NA,bad,5
p17,exp1,1,sg,yes,NA,good,7
p17,exp3,5,pl,yes,NA,good,7
p17,exp5,1,pl,yes,NA,bad,0
p17,exp7,5,sg,yes,NA,bad,1
p17,exp8,4,pl,no,NA,bad,0
p17,exp10,4,sg,no,NA,bad,1
p18,exp1,1,sg,yes,NA,good,6
p18,exp3,5,pl,yes,NA,good,6
p18,exp5,1,pl,yes,NA,bad,1
p18,exp7,5,sg,yes,NA,bad,1
p18,exp8,4,pl,no,NA,bad,4
p18,exp10,4,sg,no,NA,bad,5
p19,exp1,1,sg,yes,NA,good,5
p19,exp3,5,pl,yes,NA,good,4
p19,exp5,1,pl,yes,NA,bad,0
p19,exp7,5,sg,yes,NA,bad,0
p19,exp8,4,pl,no,NA,bad,0
p19,exp10,4,sg,no,NA,bad,0
p20,exp1,1,sg,yes,NA,good,7
p20,exp3,5,pl,yes,NA,good,7
p20,exp5,1,pl,yes,NA,bad,3
p20,exp7,5,sg,yes,NA,bad,4
p20,exp8,4,pl,no,NA,bad,7
p20,exp10,4,sg,no,NA,bad,5
p21,exp1,1,sg,yes,NA,good,6
p21,exp3,5,pl,yes,NA,good,3
p21,exp5,1,pl,yes,NA,bad,1
p21,exp7,5,sg,yes,NA,bad,2
p21,exp8,4,pl,no,NA,bad,2
p21,exp10,4,sg,no,NA,bad,2
p22,exp1,1,sg,yes,NA,good,7
p22,exp3,5,pl,yes,NA,good,6
p22,exp5,1,pl,yes,NA,bad,2
p22,exp7,5,sg,yes,NA,bad,7
p22,exp8,4,pl,no,NA,bad,6
p22,exp10,4,sg,no,NA,bad,5
p23,exp1,1,sg,yes,NA,good,7
p23,exp3,5,pl,yes,NA,good,7
p23,exp5,1,pl,yes,NA,bad,4
p23,exp7,5,sg,yes,NA,bad,5
p23,exp8,4,pl,no,NA,bad,6
p23,exp10,4,sg,no,NA,bad,5
p24,exp1,1,sg,yes,NA,good,4
p24,exp3,5,pl,yes,NA,good,6
p24,exp5,1,pl,yes,NA,bad,1
p24,exp7,5,sg,yes,NA,bad,0
p24,exp8,4,pl,no,NA,bad,1
p24,exp10,4,sg,no,NA,bad,1
p25,exp1,1,sg,yes,NA,good,7
p25,exp3,5,pl,yes,NA,good,7
p25,exp5,1,pl,yes,NA,bad,0
p25,exp7,5,sg,yes,NA,bad,0
p25,exp8,4,pl,no,NA,bad,3
p25,exp10,4,sg,no,NA,bad,0
p26,exp1,1,sg,yes,NA,good,6
p26,exp3,5,pl,yes,NA,good,4
p26,exp5,1,pl,yes,NA,bad,0
p26,exp7,5,sg,yes,NA,bad,2
p26,exp8,4,pl,no,NA,bad,3
p26,exp10,4,sg,no,NA,bad,3
p27,exp1,1,sg,yes,NA,good,7
p27,exp3,5,pl,yes,NA,good,6
p27,exp5,1,pl,yes,NA,bad,1
p27,exp7,5,sg,yes,NA,bad,3
p27,exp8,4,pl,no,NA,bad,2
p27,exp10,4,sg,no,NA,bad,6
p1,exp2,2,sg,no,yes,maybe,3
p2,exp2,2,sg,no,yes,maybe,7
p3,exp2,2,sg,no,yes,maybe,5
p4,exp2,2,sg,no,yes,maybe,3
p5,exp2,2,sg,no,yes,maybe,6
p6,exp2,2,sg,no,yes,maybe,3
p7,exp2,2,sg,no,yes,maybe,1
p8,exp2,2,sg,no,yes,maybe,3
p9,exp2,2,sg,no,yes,maybe,2
p10,exp2,2,sg,no,yes,maybe,7
p11,exp2,2,sg,no,yes,maybe,3
p12,exp2,2,sg,no,yes,maybe,1
p13,exp2,2,sg,no,yes,maybe,1
p14,exp2,2,sg,no,yes,maybe,1
p15,exp2,2,sg,no,yes,maybe,1
p16,exp2,2,sg,no,yes,maybe,6
p17,exp2,2,sg,no,yes,maybe,5
p18,exp2,2,sg,no,yes,maybe,5
p19,exp2,2,sg,no,yes,maybe,1
p20,exp2,2,sg,no,yes,maybe,7
p21,exp2,2,sg,no,yes,maybe,2
p22,exp2,2,sg,no,yes,maybe,2
p23,exp2,2,sg,no,yes,maybe,7
p24,exp2,2,sg,no,yes,maybe,1
p25,exp2,2,sg,no,yes,maybe,0
p26,exp2,2,sg,no,yes,maybe,4
p27,exp2,2,sg,no,yes,maybe,2
