Participant,Context,Picture,Number,Uniqueness,Centered,Expected,Rate
p17,exp7,5,sg,no,NA,bad,1
p18,exp7,5,sg,no,NA,bad,2
p19,exp7,5,sg,no,NA,bad,1
p20,exp7,5,sg,no,NA,bad,2
p21,exp7,5,sg,no,NA,bad,3
p22,exp7,5,sg,no,NA,bad,2
p23,exp7,5,sg,no,NA,bad,1
p24,exp7,5,sg,no,NA,bad,1
p25,exp7,5,sg,no,NA,bad,4
p26,exp7,5,sg,no,NA,bad,1
p27,exp7,5,sg,no,NA,bad,3
p1,exp8,4,pl,no,no,maybe,3
p2,exp8,4,pl,no,no,maybe,4
p3,exp8,4,pl,no,no,maybe,7
p4,exp8,4,pl,no,no,maybe,3
p5,exp8,4,pl,no,no,maybe,1
p6,exp8,4,pl,no,no,maybe,1
p7,exp8,4,pl,no,no,maybe,2
p8,exp8,4,pl,no,no,maybe,7
p9,exp8,4,pl,no,no,maybe,4
p10,exp8,4,pl,no,no,maybe,2
p11,exp8,4,pl,no,no,maybe,0
p12,exp8,4,pl,no,no,maybe,6
p13,exp8,4,pl,no,no,maybe,4
p14,exp8,4,pl,no,no,maybe,4
p15,exp8,4,pl,no,no,maybe,3
p16,exp8,4,pl,no,no,maybe,5
p17,exp8,4,pl,no,no,maybe,1
p18,exp8,4,pl,no,no,maybe,1
p19,exp8,4,pl,no,no,maybe,4
p20,exp8,4,pl,no,no,maybe,2
p21,exp8,4,pl,no,no,maybe,6
p22,exp8,4,pl,no,no,maybe,2
p23,exp8,4,pl,no,no,maybe,1
p24,exp8,4,pl,no,no,maybe,1
p25,exp8,4,pl,no,no,maybe,2
p26,exp8,4,pl,no,no,maybe,2
p27,exp8,4,pl,no,no,maybe,5
p1,exp10,4,sg,no,NA,bad,1
p2,exp10,4,sg,no,NA,bad,2
p3,exp10,4,sg,no,NA,bad,5
p4,exp10,4,sg,no,NA,bad,3
p5,exp10,4,sg,no,NA,bad,1
p6,exp10,4,sg,no,NA,bad,2
p7,exp10,4,sg,no,NA,bad,3
p8,exp10,4,sg,no,NA,bad,1
p9,exp10,4,sg,no,NA,bad,1
p10,exp10,4,sg,no,NA,bad,2
p11,exp10,4,sg,no,NA,bad,0
p12,exp10,4,sg,no,NA,bad,7
p13,exp10,4,sg,no,NA,bad,4
p14,exp10,4,sg,no,NA,bad,3
p15,exp10,4,sg,no,NA,bad,4
p16,exp10,4,sg,no,NA,bad,7
p17,exp10,4,sg,no,NA,bad,1
p18,exp10,4,sg,no,NA,bad,1
p19,exp10,4,sg,no,NA,bad,7
p20,exp10,4,sg,no,NA,bad,2
p21,exp10,4,sg,no,NA,bad,5
p22,exp10,4,sg,no,NA,bad,4
p23,exp10,4,sg,no,NA,bad,1
p24,exp10,4,sg,no,NA,bad,1
p25,exp10,4,sg,no,NA,bad,0
p26,exp10,4,sg,no,NA,bad,1
p27,exp10,4,sg,no,NA,bad,4
